org_id,display_name,missing_fields,missing_reason,next_action
10,Darn Good Yarn,"Website URL, Email, Company Phone, Street Address, City, State/Region, Postal Code, Country/Region, Definitive Categories, Fit Score, First Name, Last Name, Job Title",Website URL: No website URL in original data; Email: No email found during crawl or enrichment; Company Phone: No phone found during crawl or Maps lookup; Street Address: No address found during crawl or Maps lookup; City: No address found during crawl or Maps lookup; State/Region: No address found during crawl or Maps lookup; Postal Code: No address found during crawl or Maps lookup; Country/Region: Unknown; Definitive Categories: Taxonomy classification not run or failed; Fit Score: Unknown; First Name: Contact details not found during enrichment; Last Name: Contact details not found during enrichment; Job Title: Contact details not found during enrichment,Website URL: Manual research or use perplexity_lookup; Email: Run targeted_email_enrichment.py or apollo_email_lookup.py; Company Phone: Run yelp_business_lookup.py or manual research; Street Address: Run crawler with --verify-with-maps or use yelp_business_lookup.py; City: Run crawler with --verify-with-maps or use yelp_business_lookup.py; State/Region: Run crawler with --verify-with-maps or use yelp_business_lookup.py; Postal Code: Run crawler with --verify-with-maps or use yelp_business_lookup.py; Country/Region: Manual review required; Definitive Categories: Run perplexity_taxonomy_test.py with --force-taxonomy; Fit Score: Manual review required; First Name: Run perplexity_person_email_lookup for primary contact discovery; Last Name: Run perplexity_person_email_lookup for primary contact discovery; Job Title: Run perplexity_person_email_lookup for primary contact discovery
11,Netwurx,"Website URL, Email, Company Phone, Street Address, City, State/Region, Postal Code, Country/Region, Definitive Categories, Fit Score, First Name, Last Name, Job Title",Website URL: No website URL in original data; Email: No email found during crawl or enrichment; Company Phone: No phone found during crawl or Maps lookup; Street Address: No address found during crawl or Maps lookup; City: No address found during crawl or Maps lookup; State/Region: No address found during crawl or Maps lookup; Postal Code: No address found during crawl or Maps lookup; Country/Region: Unknown; Definitive Categories: Taxonomy classification not run or failed; Fit Score: Unknown; First Name: Contact details not found during enrichment; Last Name: Contact details not found during enrichment; Job Title: Contact details not found during enrichment,Website URL: Manual research or use perplexity_lookup; Email: Run targeted_email_enrichment.py or apollo_email_lookup.py; Company Phone: Run yelp_business_lookup.py or manual research; Street Address: Run crawler with --verify-with-maps or use yelp_business_lookup.py; City: Run crawler with --verify-with-maps or use yelp_business_lookup.py; State/Region: Run crawler with --verify-with-maps or use yelp_business_lookup.py; Postal Code: Run crawler with --verify-with-maps or use yelp_business_lookup.py; Country/Region: Manual review required; Definitive Categories: Run perplexity_taxonomy_test.py with --force-taxonomy; Fit Score: Manual review required; First Name: Run perplexity_person_email_lookup for primary contact discovery; Last Name: Run perplexity_person_email_lookup for primary contact discovery; Job Title: Run perplexity_person_email_lookup for primary contact discovery
11,Netwurx,"Website URL, Email, Company Phone, Street Address, City, State/Region, Postal Code, Country/Region, Definitive Categories, Fit Score, First Name, Last Name, Job Title",Website URL: No website URL in original data; Email: No email found during crawl or enrichment; Company Phone: No phone found during crawl or Maps lookup; Street Address: No address found during crawl or Maps lookup; City: No address found during crawl or Maps lookup; State/Region: No address found during crawl or Maps lookup; Postal Code: No address found during crawl or Maps lookup; Country/Region: Unknown; Definitive Categories: Taxonomy classification not run or failed; Fit Score: Unknown; First Name: Contact details not found during enrichment; Last Name: Contact details not found during enrichment; Job Title: Contact details not found during enrichment,Website URL: Manual research or use perplexity_lookup; Email: Run targeted_email_enrichment.py or apollo_email_lookup.py; Company Phone: Run yelp_business_lookup.py or manual research; Street Address: Run crawler with --verify-with-maps or use yelp_business_lookup.py; City: Run crawler with --verify-with-maps or use yelp_business_lookup.py; State/Region: Run crawler with --verify-with-maps or use yelp_business_lookup.py; Postal Code: Run crawler with --verify-with-maps or use yelp_business_lookup.py; Country/Region: Manual review required; Definitive Categories: Run perplexity_taxonomy_test.py with --force-taxonomy; Fit Score: Manual review required; First Name: Run perplexity_person_email_lookup for primary contact discovery; Last Name: Run perplexity_person_email_lookup for primary contact discovery; Job Title: Run perplexity_person_email_lookup for primary contact discovery
12,Gv Daniels Recreation Center,"Website URL, Email, Company Phone, Street Address, City, State/Region, Postal Code, Country/Region, Definitive Categories, Fit Score, First Name, Last Name, Job Title",Website URL: No website URL in original data; Email: No email found during crawl or enrichment; Company Phone: No phone found during crawl or Maps lookup; Street Address: No address found during crawl or Maps lookup; City: No address found during crawl or Maps lookup; State/Region: No address found during crawl or Maps lookup; Postal Code: No address found during crawl or Maps lookup; Country/Region: Unknown; Definitive Categories: Taxonomy classification not run or failed; Fit Score: Unknown; First Name: Contact details not found during enrichment; Last Name: Contact details not found during enrichment; Job Title: Contact details not found during enrichment,Website URL: Manual research or use perplexity_lookup; Email: Run targeted_email_enrichment.py or apollo_email_lookup.py; Company Phone: Run yelp_business_lookup.py or manual research; Street Address: Run crawler with --verify-with-maps or use yelp_business_lookup.py; City: Run crawler with --verify-with-maps or use yelp_business_lookup.py; State/Region: Run crawler with --verify-with-maps or use yelp_business_lookup.py; Postal Code: Run crawler with --verify-with-maps or use yelp_business_lookup.py; Country/Region: Manual review required; Definitive Categories: Run perplexity_taxonomy_test.py with --force-taxonomy; Fit Score: Manual review required; First Name: Run perplexity_person_email_lookup for primary contact discovery; Last Name: Run perplexity_person_email_lookup for primary contact discovery; Job Title: Run perplexity_person_email_lookup for primary contact discovery
13,Social Media Link,"Website URL, Email, Company Phone, Street Address, City, State/Region, Postal Code, Country/Region, Definitive Categories, Fit Score, First Name, Last Name, Job Title",Website URL: No website URL in original data; Email: No email found during crawl or enrichment; Company Phone: No phone found during crawl or Maps lookup; Street Address: No address found during crawl or Maps lookup; City: No address found during crawl or Maps lookup; State/Region: No address found during crawl or Maps lookup; Postal Code: No address found during crawl or Maps lookup; Country/Region: Unknown; Definitive Categories: Taxonomy classification not run or failed; Fit Score: Unknown; First Name: Contact details not found during enrichment; Last Name: Contact details not found during enrichment; Job Title: Contact details not found during enrichment,Website URL: Manual research or use perplexity_lookup; Email: Run targeted_email_enrichment.py or apollo_email_lookup.py; Company Phone: Run yelp_business_lookup.py or manual research; Street Address: Run crawler with --verify-with-maps or use yelp_business_lookup.py; City: Run crawler with --verify-with-maps or use yelp_business_lookup.py; State/Region: Run crawler with --verify-with-maps or use yelp_business_lookup.py; Postal Code: Run crawler with --verify-with-maps or use yelp_business_lookup.py; Country/Region: Manual review required; Definitive Categories: Run perplexity_taxonomy_test.py with --force-taxonomy; Fit Score: Manual review required; First Name: Run perplexity_person_email_lookup for primary contact discovery; Last Name: Run perplexity_person_email_lookup for primary contact discovery; Job Title: Run perplexity_person_email_lookup for primary contact discovery
14,Nyc Camp Aca,"Website URL, Email, Company Phone, Street Address, City, State/Region, Postal Code, Country/Region, Definitive Categories, Fit Score, First Name, Last Name, Job Title",Website URL: No website URL in original data; Email: No email found during crawl or enrichment; Company Phone: No phone found during crawl or Maps lookup; Street Address: No address found during crawl or Maps lookup; City: No address found during crawl or Maps lookup; State/Region: No address found during crawl or Maps lookup; Postal Code: No address found during crawl or Maps lookup; Country/Region: Unknown; Definitive Categories: Taxonomy classification not run or failed; Fit Score: Unknown; First Name: Contact details not found during enrichment; Last Name: Contact details not found during enrichment; Job Title: Contact details not found during enrichment,Website URL: Manual research or use perplexity_lookup; Email: Run targeted_email_enrichment.py or apollo_email_lookup.py; Company Phone: Run yelp_business_lookup.py or manual research; Street Address: Run crawler with --verify-with-maps or use yelp_business_lookup.py; City: Run crawler with --verify-with-maps or use yelp_business_lookup.py; State/Region: Run crawler with --verify-with-maps or use yelp_business_lookup.py; Postal Code: Run crawler with --verify-with-maps or use yelp_business_lookup.py; Country/Region: Manual review required; Definitive Categories: Run perplexity_taxonomy_test.py with --force-taxonomy; Fit Score: Manual review required; First Name: Run perplexity_person_email_lookup for primary contact discovery; Last Name: Run perplexity_person_email_lookup for primary contact discovery; Job Title: Run perplexity_person_email_lookup for primary contact discovery
15,Camp Specialists,"Website URL, Email, Company Phone, Street Address, City, State/Region, Postal Code, Country/Region, Definitive Categories, Fit Score, First Name, Last Name, Job Title",Website URL: No website URL in original data; Email: No email found during crawl or enrichment; Company Phone: No phone found during crawl or Maps lookup; Street Address: No address found during crawl or Maps lookup; City: No address found during crawl or Maps lookup; State/Region: No address found during crawl or Maps lookup; Postal Code: No address found during crawl or Maps lookup; Country/Region: Unknown; Definitive Categories: Taxonomy classification not run or failed; Fit Score: Unknown; First Name: Contact details not found during enrichment; Last Name: Contact details not found during enrichment; Job Title: Contact details not found during enrichment,Website URL: Manual research or use perplexity_lookup; Email: Run targeted_email_enrichment.py or apollo_email_lookup.py; Company Phone: Run yelp_business_lookup.py or manual research; Street Address: Run crawler with --verify-with-maps or use yelp_business_lookup.py; City: Run crawler with --verify-with-maps or use yelp_business_lookup.py; State/Region: Run crawler with --verify-with-maps or use yelp_business_lookup.py; Postal Code: Run crawler with --verify-with-maps or use yelp_business_lookup.py; Country/Region: Manual review required; Definitive Categories: Run perplexity_taxonomy_test.py with --force-taxonomy; Fit Score: Manual review required; First Name: Run perplexity_person_email_lookup for primary contact discovery; Last Name: Run perplexity_person_email_lookup for primary contact discovery; Job Title: Run perplexity_person_email_lookup for primary contact discovery
16,Askews Landing Campground,"Website URL, Email, Company Phone, Street Address, City, State/Region, Postal Code, Country/Region, Definitive Categories, Fit Score, First Name, Last Name, Job Title",Website URL: No website URL in original data; Email: No email found during crawl or enrichment; Company Phone: No phone found during crawl or Maps lookup; Street Address: No address found during crawl or Maps lookup; City: No address found during crawl or Maps lookup; State/Region: No address found during crawl or Maps lookup; Postal Code: No address found during crawl or Maps lookup; Country/Region: Unknown; Definitive Categories: Taxonomy classification not run or failed; Fit Score: Unknown; First Name: Contact details not found during enrichment; Last Name: Contact details not found during enrichment; Job Title: Contact details not found during enrichment,Website URL: Manual research or use perplexity_lookup; Email: Run targeted_email_enrichment.py or apollo_email_lookup.py; Company Phone: Run yelp_business_lookup.py or manual research; Street Address: Run crawler with --verify-with-maps or use yelp_business_lookup.py; City: Run crawler with --verify-with-maps or use yelp_business_lookup.py; State/Region: Run crawler with --verify-with-maps or use yelp_business_lookup.py; Postal Code: Run crawler with --verify-with-maps or use yelp_business_lookup.py; Country/Region: Manual review required; Definitive Categories: Run perplexity_taxonomy_test.py with --force-taxonomy; Fit Score: Manual review required; First Name: Run perplexity_person_email_lookup for primary contact discovery; Last Name: Run perplexity_person_email_lookup for primary contact discovery; Job Title: Run perplexity_person_email_lookup for primary contact discovery
17,Music Store,"Website URL, Email, Company Phone, Street Address, City, State/Region, Postal Code, Country/Region, Definitive Categories, Fit Score, First Name, Last Name, Job Title",Website URL: No website URL in original data; Email: No email found during crawl or enrichment; Company Phone: No phone found during crawl or Maps lookup; Street Address: No address found during crawl or Maps lookup; City: No address found during crawl or Maps lookup; State/Region: No address found during crawl or Maps lookup; Postal Code: No address found during crawl or Maps lookup; Country/Region: Unknown; Definitive Categories: Taxonomy classification not run or failed; Fit Score: Unknown; First Name: Contact details not found during enrichment; Last Name: Contact details not found during enrichment; Job Title: Contact details not found during enrichment,Website URL: Manual research or use perplexity_lookup; Email: Run targeted_email_enrichment.py or apollo_email_lookup.py; Company Phone: Run yelp_business_lookup.py or manual research; Street Address: Run crawler with --verify-with-maps or use yelp_business_lookup.py; City: Run crawler with --verify-with-maps or use yelp_business_lookup.py; State/Region: Run crawler with --verify-with-maps or use yelp_business_lookup.py; Postal Code: Run crawler with --verify-with-maps or use yelp_business_lookup.py; Country/Region: Manual review required; Definitive Categories: Run perplexity_taxonomy_test.py with --force-taxonomy; Fit Score: Manual review required; First Name: Run perplexity_person_email_lookup for primary contact discovery; Last Name: Run perplexity_person_email_lookup for primary contact discovery; Job Title: Run perplexity_person_email_lookup for primary contact discovery
18,Musicart Services,"Website URL, Email, Company Phone, Street Address, City, State/Region, Postal Code, Country/Region, Definitive Categories, Fit Score, First Name, Last Name, Job Title",Website URL: No website URL in original data; Email: No email found during crawl or enrichment; Company Phone: No phone found during crawl or Maps lookup; Street Address: No address found during crawl or Maps lookup; City: No address found during crawl or Maps lookup; State/Region: No address found during crawl or Maps lookup; Postal Code: No address found during crawl or Maps lookup; Country/Region: Unknown; Definitive Categories: Taxonomy classification not run or failed; Fit Score: Unknown; First Name: Contact details not found during enrichment; Last Name: Contact details not found during enrichment; Job Title: Contact details not found during enrichment,Website URL: Manual research or use perplexity_lookup; Email: Run targeted_email_enrichment.py or apollo_email_lookup.py; Company Phone: Run yelp_business_lookup.py or manual research; Street Address: Run crawler with --verify-with-maps or use yelp_business_lookup.py; City: Run crawler with --verify-with-maps or use yelp_business_lookup.py; State/Region: Run crawler with --verify-with-maps or use yelp_business_lookup.py; Postal Code: Run crawler with --verify-with-maps or use yelp_business_lookup.py; Country/Region: Manual review required; Definitive Categories: Run perplexity_taxonomy_test.py with --force-taxonomy; Fit Score: Manual review required; First Name: Run perplexity_person_email_lookup for primary contact discovery; Last Name: Run perplexity_person_email_lookup for primary contact discovery; Job Title: Run perplexity_person_email_lookup for primary contact discovery
